Ulasan,stemming,Errors
Gabisa di dowloand,"['enggak bisa', 'dowloand']",-1
tidak bisa di sign in parah banget aplikasi ini,"['sign', 'parah', 'banget', 'aplikasi']",-1
Dih tollol sign up susah kali,"['dih', 'tollol', 'sign', 'up', 'sulit']",-1
Mau log in INVALID trs. Tolong diperbaikiiiiiiiiiiiii,"['log', 'invalid', 'tolong', 'diperbaikii']",-1
"Order aja loading nya g karu2 an, app luar kalau udh masuk indo ya gini","['order', 'loading', 'karu', 'app', 'indonesia']",-1
malah nggak bisa login. saldo hilang,"['login', 'saldo', 'hilang']",-1
Ga bisa sign up padahal data uda di isi semua,"['sign', 'up', 'data', 'isi']",-1
Oooop,['ooop'],0
kemarin beli tumbler..eh apps nya ga bsa dipake :(,"['kemarin', 'beli', 'tumblereh', 'apps', 'pakai']",0
gabisa ambil rewards padahal starnya udah cukup,"['enggak bisa', 'ambil', 'rewards', 'starnya']",-1
"Semakin gak jelas... update ni aplikasi aja harus login accout google segala. Terlalu ribetttt. Tolong diperbaiki. aplikasi dibuat itu untuk memprmudah. Bukan untuk mempersulit pengguna aplikasi. Oke, bisa dipahami untik menjaga data custemer, tapi bukan dengan cara seperti ini.. terlalu bertele-tele","['aplikasi', 'login', 'accout', 'google', 'ribett', 'tolong', 'baik', 'aplikasi', 'memprmudah', 'sulit', 'guna', 'aplikasi', 'paham', 'untik', 'jaga', 'data', 'custemer', 'berteletele']",0
"Starbucks cabang di Palangka Raya, Kalimantan Tengah, gk ada di appnya, gimana coba?","['starbucks', 'cabang', 'palangka', 'raya', 'kalimantan', 'appnya', 'coba']",-1
Biasa login pake no hp sekarang minta email.kaga jelas amat sih....,"['login', 'pakai', 'handphone', 'emailkaga']",0
Mungkin sebaiknya ada bahasa Indonesianya,"['bahasa', 'indonesia']",1
"Sudah aktifkan lokasi, tapi tetap store yg terdekat di daerah Jakarta. Percuma di aktifkan lokasi.","['aktif', 'lokasi', 'store', 'dekat', 'daerah', 'jakarta', 'aktif', 'lokasi']",-1
mau register aja eror mulu nyesel downloas aplikasi ini 🤡,"['register', 'eror', 'mulu', 'sesal', 'downloas', 'aplikasi']",-1
"Br install, sampe ganti email & nmr HP tp tetep ngga bisa sign in.. Tunggu beberapa hari tetep invalid mulu. Dahlah uninstall aja","['install', 'ganti', 'email', 'nomor', 'handphone', 'sign', 'tunggu', 'invalid', 'mulu', 'dah', 'uninstall']",-1
"Ga niat bikin aplikasi, lemot..","['niat', 'aplikasi', 'lot']",0
"tolong banget ini diperbaiki sistemnya yang lagi buat akun baru, saya sudah benar masukkin kode OTP nya dan pas sign up malah invalid","['tolong', 'banget', 'baik', 'sistem', 'akun', 'masukkin', 'kode', 'otp', 'pas', 'sign', 'up', 'invalid']",-1
Setelah up date semakin ribet,"['up', 'date', 'ribet']",0
Jelek bgt aplikasinya...milih area kota sndri buat order munculny jakarta mulu..,"['jelek', 'banget', 'aplikasinyamilih', 'area', 'kota', 'order', 'munculny', 'jakarta', 'mulu']",-1
Pakai kode referral saat daftar (sign up) SELSABILLAA-676825 -reward diskon 25k min pembelian 50K -reward minuman tall 10k setelah top up (Reward berlaku selama 7 hari),"['pakai', 'kode', 'referral', 'daftar', 'sign', 'up', 'selsabillaa', 'reward', 'diskon', 'beli', 'reward', 'minum', 'tall', 'top', 'up', 'reward', 'laku']",0
Aplikasi gak guna. Mau registered aja susah banget,"['aplikasi', 'registered', 'sulit', 'banget']",-1
"Tidak bisa login, kode OTP selalu salah.","['login', 'kode', 'otp', 'salah']",-1
"Banyak gratisan, asal tau promonya","['gratis', 'promonya']",1
"Saya pengguna lama Starbucks Card, dan sdh Gold Level, ini mau update knp susah sekali, apakah ini mempengaruhi isi dan reward di card saya? Tolong sistemnya jangan terlalu ketat begini.","['guna', 'starbucks', 'card', 'gold', 'level', 'sulit', 'pengaruh', 'isi', 'reward', 'card', 'tolong', 'sistem', 'ketat']",-1
Saat mau buat akun kode OTP ga muncul²,"['akun', 'kode', 'otp', 'muncul']",-1
Loading lama,['loading'],-1
Loading lama gamasuk masuk,"['loading', 'gamasuk']",-1
RIBET,['ribet'],0
Mantap sekali kopinya enak,"['mantap', 'kopi']",0
aneh bgt mau join malah gabisa diklik-_-,"['aneh', 'banget', 'join', 'enggak bisa', 'klik']",-1
"Kerjaan Starbuck IT tambah parah, tiap kali update dan tambah lemot saja, kalo bintang 0, sy kasih bintang 0","['kerja', 'starbuck', 'parah', 'lot', 'bintang', 'kasih', 'bintang']",0
Susehhhh,['susehh'],0
Good. Fiturnya lebih banyak dibanding versi di luar negeri 👍,"['fiturnya', 'banding', 'versi', 'negeri']",1
Aplikasinya kurang stabil. Bisa tiba-tiba keluar sendiri dari aplikasi.,"['aplikasi', 'stabil', 'tibatiba', 'aplikasi']",-1
sometimes the application can not be opened,"['sometimes', 'application', 'not', 'opened']",-1
"Sekelas starbucks mau daftar aja susah banget, invalid terus capek","['kelas', 'starbucks', 'daftar', 'sulit', 'banget', 'invalid', 'capek']",-1
"Secara fitur sudah tergolong banyak, fitur cukup informatif, lebih memudahkan. Untuk kecepatan loading tolong ditingkatkan","['fitur', 'golong', 'fitur', 'informatif', 'mudah', 'cepat', 'loading', 'tolong', 'tingkat']",1
"Mempermudah skali, pesan tanpa ke kasir, bisa liat all menu, dan info lengkap cuma lewat aplikasi","['mudah', 'pesan', 'kasir', 'all', 'menu', 'info', 'lengkap', 'aplikasi']",0
Pesen pake aplikasi praktis ga perlu ngantri.. Banyak voucher dan promo nya.,"['pesan', 'pakai', 'aplikasi', 'praktis', 'antri', 'voucher', 'promo']",0
"Aduh giliran mau di pake suruh update, biasa tinggal klik update trs langsung bisa dipake, ini kenapa malah disuruh instal di perangkat lain😩mana masi ada saldo nya, gimana ini","['aduh', 'gilir', 'pakai', 'suruh', 'tinggal', 'klik', 'pakai', 'suruh', 'instal', 'perangkat', 'lainmana', 'saldo']",-1
Saya tidak bisa masuk ke aplikasi di situ ada saldooo woiiii,"['aplikasi', 'situ', 'saldoo']",-1
"Reward,Service,SDM -Good",['rewardservicesdm'],0
Ga bisa dibuka apps nya,"['buka', 'apps']",-1
Appnya coba di permudah,"['appnya', 'coba', 'mudah']",0
"Mantap, banyak promo, tapi kadang error pas hari hari tertentu","['mantap', 'promo', 'kadang', 'error', 'pas']",1
"Ini tiba2 minta update , tp ngak bisa di update ,padahal terakhir pake kemaren malam masih bisa , kacau nich sbuck","['pakai', 'kemarin', 'malam', 'kacau', 'sbuck']",-1
Mantap,['mantap'],0
"Suka ngasih promo gaes, mayan banget kalo lagi akhir bulan","['suka', 'asih', 'promo', 'lumayan', 'banget']",1
Prosesny kdg Ribet mu download kdg susah..smoga Bs d perbaiki lagi perfomany,"['prosesny', 'kadang', 'ribet', 'mu', 'download', 'kadang', 'susahsmoga', 'baik', 'perfomany']",-1
apps down mlulu. saldo jadi nggak bisa transaksi,"['apps', 'down', 'mlulu', 'saldo', 'transaksi']",-1
Oke hari ini sdh mantep appnya.hehee,"['mantap', 'appnyahehee']",0
Sering ngadat dan eror,"['ngadat', 'eror']",-1
"Payah nih aplikasi abis di update malah gagal trus pas masuk. Sinyal kenceng malah suruh refresh mulu. IT nya kerjain apa sih,sekelas starbucks IT nya ABAL ABAL!!!","['payah', 'aplikasi', 'habis', 'gagal', 'pas', 'sinyal', 'kencang', 'suruh', 'refresh', 'mulu', 'kerjain', 'sihsekelas', 'starbucks', 'abal', 'abal']",-1
Lemot bgt,"['lot', 'banget']",0
Kenapa setelah diupdate aplikasinya jd gak bisa dibukaaaaaaaa?????,"['diupdate', 'aplikasi', 'dibukaa']",-1
Semakin di update malah semakin ancur. Lepaspasang aplikasi gak juga bener. Udah pakai wifi karna pakai data di bilang jaringan kena tapi tetap juga 🗿,"['hancur', 'lepaspasang', 'aplikasi', 'pakai', 'wifi', 'pakai', 'data', 'jaring']",-1
Parah. Habis update langsung lemooooooooot pol. Gakbisa tampil gambarnya. Perbaiki dong. Mending aplikasi yg lama.,"['parah', 'habis', 'lemoot', 'gakbisa', 'tampil', 'gambar', 'baik', 'mending', 'aplikasi']",-1
"Tolong ditingkatkan dan dibenahi aplikasinya. sangat susah untuk mengakses aplikasinya, saya sudah coba gonta ganti jaringan masih saja gagal buka.","['tolong', 'tingkat', 'benah', 'aplikasi', 'sulit', 'akses', 'aplikasi', 'coba', 'gonta', 'ganti', 'jaring', 'gagal', 'buka']",-1
Sungguh sungguh lemot aplikasi nya,"['sungguh', 'sungguh', 'lot', 'aplikasi']",0
"App starbucks error terus gabisa login, sekalinya udh bisa buka reward gabisa2 ... udah banyak yang kasih komen keluhan kenapa tidak ada peningkatannya","['app', 'starbucks', 'error', 'enggak bisa', 'login', 'sekali', 'buka', 'reward', 'enggak bisa', 'kasih', 'komen', 'keluh', 'tingkat']",-1
"Setelah di update koq malah ga kebuka, network unstable mulu, padahal buka aplikasi lain, lancar2 aja.. mending balikin aja ke versi sebelumnya..","['buka', 'network', 'unstable', 'mulu', 'buka', 'aplikasi', 'lancar', 'mending', 'balikin', 'versi']",-1
Aneh bgt.. Abis update malah lemot buka aplikasinya.. Padahal yg sebelumnya aman aman ajh,"['aneh', 'banget', 'habis', 'lot', 'buka', 'aplikasi', 'aman', 'aman']",0
Lelet,['lelet'],0
"Ini kecepatan internetnya harus 91gbps kalinya, lemot bgt aplikasinya cok","['cepat', 'internetnya', 'gbps', 'kali', 'lot', 'banget', 'aplikasi']",-1
app lag,"['app', 'lag']",-1
Udah aku klik join now beberapa kali ga bisa,"['klik', 'join', 'now']",-1
👍🌟🌟🌟🌟🌟,[],0
"Tolong bugs diperbaiki, setelah update apps versi terbaru loading membutuhkan waktu yg lama pada saat aplikasinya digunakan. Kenyamanan bertransaksi saat menggunakan apps sangat terganggu","['tolong', 'bugs', 'baik', 'apps', 'versi', 'baru', 'loading', 'butuh', 'aplikasi', 'nyaman', 'transaksi', 'apps', 'ganggu']",-1
"nyesel banget aku update, malah makin lemot ampun daah, dari login sampai semua fiturnya ruaaarr biasa lelet..segera perbaiki bugs nya kalau pengen pelanggan setia tetap sudi spend money buat kalian, mengingat sudah banyak pesaing bisnis yg jauh lebih friendly kantong, thx","['sesal', 'banget', 'lot', 'ampun', 'login', 'fiturnya', 'ruaarr', 'leletsegera', 'baik', 'bugs', 'pengin', 'langgan', 'setia', 'sudi', 'spend', 'money', 'saing', 'bisnis', 'friendly', 'kantong', 'thx']",-1
Gila yaaa aplikasinya berat bgt apa smpe susah di buka. Apa apa suruh lewat aplikasi tapi aplikasinya parah bgt loading doang,"['gila', 'aplikasi', 'berat', 'banget', 'sulit', 'buka', 'suruh', 'aplikasi', 'aplikasi', 'parah', 'banget', 'loading', 'doang']",-1
Lemot...udah isi saldo tau ga lsg ke isi...saya malu bgt dikira saya ga punya duit. Padahal saya ini recus setia.,"['lemotudah', 'isi', 'saldo', 'isisaya', 'malu', 'banget', 'duit', 'recus', 'setia']",-1
"Parah si sekelas starbuck tp aplikasi nya susah mau top up krna aplikasi error 🤦‍♀️🤦‍♀️ kalau d update tlg yg bgs dong, ga mungkin low budget kan untuk ngurus aps nya 🥲","['parah', 'kelas', 'starbuck', 'aplikasi', 'sulit', 'top', 'up', 'aplikasi', 'error', 'tokamung', 'bagus', 'low', 'budget', 'urus', 'aps']",-1
"Coba dftr strbuck dam login tp gagal, coba call center tp malah gk diangkat udh mah kenaa penguran pulsa:)","['coba', 'daftar', 'starbucks', 'dam', 'login', 'gagal', 'coba', 'call', 'center', 'angkat', 'kenaa', 'kur', 'pulsa']",-1
"Aplikasi ga bisa di buka, loading lama bgt padahal wifi kenceng bgt","['aplikasi', 'buka', 'loading', 'banget', 'wifi', 'kencang', 'banget']",-1
Ga bisa login....habis upgrade keluar ga bs masuk² lagi..hihh,"['loginhabis', 'upgrade', 'lagihihh']",-1
min kok gabisa sign in padahal udah bener email passnya:(,"['enggak bisa', 'sign', 'email', 'passnya']",-1
OTP Via WhatsApp Min Tolong Update Versi Barunya,"['otp', 'via', 'whatsapp', 'tolong', 'versi', 'baru']",-1
Kenapa ya ketika sign up tuh salah nya di email terus sampe Gonta ganti email tetep aja katanya ga valid udah males duluan jadinya .,"['sign', 'up', 'salah', 'email', 'gonta', 'ganti', 'email', 'valid', 'malas', 'duluan']",-1
Untuk order via apps harusnya bisa detect store yg bener bener deket. Atau memang hanya bisa dipakai untuk area jakarta saja ?,"['order', 'via', 'apps', 'detect', 'store', 'pakai', 'area', 'jakarta']",-1
Sangat buruk aplikasinya ga bisa login.,"['buruk', 'aplikasi', 'login']",-1
"Udah saya install terus uninstall tapi tetep gabisa dibuka, tolong untuk segera diperbaiki. Terimakasih","['install', 'uninstall', 'enggak bisa', 'buka', 'tolong', 'baik', 'terimakasih']",-1
Good,[],0
"Parah si buka aplikasi tampilan nya logo doang, udah di depan kasir. Sudah banyak keluhan tolong diperbaiki !!!!","['parah', 'buka', 'aplikasi', 'tampil', 'logo', 'doang', 'kasir', 'keluh', 'tolong', 'baik']",-1
"Katanya kode verifikasi dikirim di email, tapi ko gaada email masuk?","['kode', 'verifikasi', 'kirim', 'email', 'enggak ada', 'email']",-1
Mahal sampai diskon pun masih terasa mahal,"['mahal', 'diskon', 'mahal']",0
Parah samapi kasir aplikasi eror,"['parah', 'samapi', 'kasir', 'aplikasi', 'eror']",-1
Lemot,['lot'],-1
Capek sendiri bolakbalik email tp gabsa login jg pdhl kode otp nya gada-_- heran,"['capek', 'bolakbalik', 'email', 'tidak bisa', 'login', 'kode', 'otp', 'enggak ada', 'heran']",-1
UI kurang Nyaman aja susah Custom Pesanan juga BTW ini Kalo Mau REFERAL : ARIEFR-3D306A,"['ui', 'nyaman', 'sulit', 'custom', 'pesan', 'referal', 'ariefrda']",-1
"Aplikasi nya sulit dibuka, kadang gak bisa dibuka sama sekali","['aplikasi', 'sulit', 'buka', 'kadang', 'buka']",-1
Sering gangguan Tidak bisa di buka Bad!!!,"['ganggu', 'buka', 'bad']",-1
Menunya bagus tapi kalau aplikasinya susah daftarnya udah bener isi data malah invalid code 🤣🤣👍👍,"['menu', 'bagus', 'aplikasi', 'sulit', 'daftar', 'isi', 'data', 'invalid', 'code']",-1
"Kalau bisa sediakan juga menu top up untuk ovo, dana gopay dll","['sedia', 'menu', 'top', 'up', 'ovo', 'dana', 'gopay', 'dan lain']",0
"Untuk menu ordernya ditambahin dong, kan bukan di pulau jawa doang yang mau mesen","['menu', 'order', 'ditambahin', 'pulau', 'jawa', 'doang', 'mesen']",-1
cara masukan refferal code yng gk puny teman piye toh,"['masuk', 'refferal', 'code', 'puny', 'teman']",0
Udh lebih dari 10x lebih x gua download dan uninstalled ga bisa jga login. Cape bed. Apa perlu pake iphone biar lancar. Hey tingkatkan lgi x penilaian nya rendah semua. Ga ada kemajuan2 atas komplainnya.,"['gua', 'download', 'uninstalled', 'login', 'capek', 'bed', 'pakai', 'iphone', 'lancar', 'tingkat', 'nilai', 'rendah', 'maju', 'komplain']",-1
"Selalu error ga jelas, ujung ujung ga ke pakai saldo di apps. Mengecewakan","['error', 'ujung', 'ujung', 'pakai', 'saldo', 'apps', 'kecewa']",-1
Ini store nya apakah di Jakarta aja ko di Bandung ga ada ya pilihan di aplikasi,"['store', 'jakarta', 'bandung', 'pilih', 'aplikasi']",-1
Berkali-kali reset Pasword selalu ditolak dan gagal,"['berkalikali', 'reset', 'pasword', 'tolak', 'gagal']",-1
"untuk promo e-voucher diperbanyak, dn kalau bisa buat fitur dimana sisa saldo bisa kita tarik, seperti apk D*na/Ov* dll serta bebas topup tanpa minimal nominal berapa pun itu akan sangat bagus,","['promo', 'evoucher', 'banyak', 'fitur', 'mana', 'sisa', 'saldo', 'tarik', 'apk', 'dnaov', 'dan lain', 'bebas', 'topup', 'minimal', 'nominal', 'bagus']",1
"JANGAN PAKE APLIKASI INI SAYA DAFTAR SMPE KIAMAT GA PERNAH BISA, UDAH INI APLIKASI BEJAT BANGSATT ANJINGGGGGG","['pakai', 'aplikasi', 'daftar', 'kiamat', 'aplikasi', 'bejat', 'bangsatt', 'anjingg']",-1
Starbucks Alauddin Makassar kurang memuaskan pelayanannya..kita sebagai kastemer di anggap bukan pembelinya...sampai sampai strum buat cas hp d lepas sampai aliran listrikx d matikan.namanya saja resto besar biar cas tidak boleh,"['starbucks', 'alauddin', 'makassar', 'muas', 'pelayanannyakita', 'kastemer', 'anggap', 'pembelinyasampai', 'strum', 'cas', 'handphone', 'lepas', 'alir', 'listrikx', 'matikannamanya', 'resto', 'cas']",0
sering mengalami error dan lambat kalau dibuka. harus hapus cache dulu.,"['alami', 'error', 'lambat', 'buka', 'hapus', 'cache']",-1
Kapok sama barista di starbucks benhil. Sangat tidak ramah. Parah bgt pelayanannya,"['kapok', 'barista', 'starbucks', 'benhil', 'ramah', 'parah', 'banget', 'layan']",0
Sangat Baik,[],0
